price,website,brand,size,target_kg_min,target_kg_max,units,unit_price
"2320.0","mercadolibre.com.ar","huggies","m","5.5","9.5","48","48.33"
"636.0","mercadolibre.com.ar","huggies","g","9","12.5","8","79.5"
"2625.37","mercadolibre.com.ar","huggies","xg","12","15","58","45.27"
"850.0","mercadolibre.com.ar","huggies","p","3.5","6","34","25.0"
"636.0","mercadolibre.com.ar","huggies","g","9","12.5","8","79.5"
"800.0","mercadolibre.com.ar","huggies","m","5.5","9.5","26","30.77"
"850.0","mercadolibre.com.ar","huggies","p","3.5","6","34","25.0"
"2250.0","mercadolibre.com.ar","huggies","xg","12","15","52","43.27"
"1685.0","mercadolibre.com.ar","huggies","p","3.5","6","12","140.42"
"2232.2","mercadolibre.com.ar","huggies","m","5.5","9.5","68","32.83"
"2199.0","mercadolibre.com.ar","huggies","g","9","12.5","60","36.65"
"1289.22","mercadolibre.com.ar","huggies","p","3.5","6","50","25.78"
"2250.0","mercadolibre.com.ar","huggies","xg","12","15","52","43.27"
"2232.2","mercadolibre.com.ar","huggies","m","5.5","9.5","68","32.83"
"1685.0","mercadolibre.com.ar","huggies","m","5.5","9.5","11","153.18"
"479.01","mercadolibre.com.ar","huggies","p","3.5","6","8","59.88"
"2199.0","mercadolibre.com.ar","huggies","g","9","12.5","60","36.65"
"1685.0","mercadolibre.com.ar","huggies","p","3.5","6","12","140.42"
"1685.0","mercadolibre.com.ar","huggies","g","9","12.5","10","168.5"
"1685.0","mercadolibre.com.ar","huggies","p","3.5","6","12","140.42"
"2156.0","mercadolibre.com.ar","huggies","xg","12","15","52","41.46"
"2425.0","mercadolibre.com.ar","huggies","xg","12","15","52","46.63"
"2440.52","mercadolibre.com.ar","huggies","m","5.5","9.5","68","35.89"
"1058.25","mercadolibre.com.ar","huggies","rn","0","4","34","31.12"
"1541.0","mercadolibre.com.ar","huggies","p","3.5","6","50","30.82"
"1643.0","mercadolibre.com.ar","huggies","g","9","12.5","20","82.15"
"2180.0","mercadolibre.com.ar","huggies","g","9","12.5","60","36.33"
"5000.0","mercadolibre.com.ar","huggies","xxg","14","20","56","89.29"
"800.0","mercadolibre.com.ar","huggies","m","5.5","9.5","26","30.77"
"5000.0","mercadolibre.com.ar","huggies","xxg","14","20","56","89.29"
"5000.0","mercadolibre.com.ar","huggies","xxg","14","20","56","89.29"
"424.0","mercadolibre.com.ar","huggies","xg","12","15","8","53.0"
"5000.0","mercadolibre.com.ar","huggies","xxg","14","20","56","89.29"
"424.0","mercadolibre.com.ar","huggies","xg","12","15","8","53.0"
"786.0","mercadolibre.com.ar","huggies","p","3.5","6","8","98.25"
"424.0","mercadolibre.com.ar","huggies","xg","12","15","8","53.0"
"5000.0","mercadolibre.com.ar","huggies","xxg","14","20","56","89.29"
"1685.0","mercadolibre.com.ar","huggies","g","9","12.5","10","168.5"
"1685.0","mercadolibre.com.ar","huggies","g","9","12.5","10","168.5"
"1685.0","mercadolibre.com.ar","huggies","m","5.5","9.5","11","153.18"
"1461.5","mercadolibre.com.ar","huggies","xxg","14","20","15","97.43"
"1814.5","mercadolibre.com.ar","huggies","xg","12","15","16","113.41"
"1814.5","mercadolibre.com.ar","huggies","xg","12","15","16","113.41"
"2518.12","mercadolibre.com.ar","huggies","m","5.5","9.5","68","37.03"
"1814.5","mercadolibre.com.ar","huggies","g","9","12.5","20","90.72"
"2599.0","mercadolibre.com.ar","huggies","xxg","14","20","50","51.98"
"1550.0","mercadolibre.com.ar","huggies","p","3.5","6","50","31.0"
"1246.0","mercadolibre.com.ar","huggies","rn","0","4","34","36.65"
"1461.5","mercadolibre.com.ar","huggies","xxg","14","20","15","97.43"
"2518.12","mercadolibre.com.ar","huggies","xg","12","15","52","48.43"
"2518.12","mercadolibre.com.ar","huggies","m","5.5","9.5","68","37.03"
"1550.0","mercadolibre.com.ar","huggies","p","3.5","6","50","31.0"
"1814.5","mercadolibre.com.ar","huggies","g","9","12.5","20","90.72"
"1814.5","mercadolibre.com.ar","huggies","g","9","12.5","20","90.72"
"1246.0","mercadolibre.com.ar","huggies","rn","0","4","34","36.65"
"1550.0","mercadolibre.com.ar","huggies","p","3.5","6","50","31.0"
"1814.5","mercadolibre.com.ar","huggies","xg","12","15","16","113.41"
"1246.0","mercadolibre.com.ar","huggies","rn","0","4","34","36.65"
"1461.5","mercadolibre.com.ar","huggies","xxg","14","20","15","97.43"
"2518.12","mercadolibre.com.ar","huggies","m","5.5","9.5","68","37.03"
"2518.12","mercadolibre.com.ar","huggies","m","5.5","9.5","68","37.03"
